before: itr =   1, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   1, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
before: itr =   2, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   2, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =   3, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.14114E-01
before: itr =   3, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.35021E-01
before: itr =   3, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.49505E-01
before: itr =   3, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.48362E-01
before: itr =   3, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.15269E-01
before: itr =   3, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.39604E-01
before: itr =   3, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.58263E-01
before: itr =   3, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.59568E-01
before: itr =   3, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.38173E-02
before: itr =   3, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.10855E-01
before: itr =   3, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.17280E-01
before: itr =   3, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.19212E-01
before: itr =   3, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.95433E-03
before: itr =   3, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.29524E-02
before: itr =   3, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.50580E-02
before: itr =   3, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.60675E-02
after: itr =   3, myrank =   0, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.14114E-01
after: itr =   3, myrank =   0, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.35021E-01
after: itr =   3, myrank =   0, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.49505E-01
after: itr =   3, myrank =   0, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.48362E-01
after: itr =   3, myrank =   0, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.15269E-01
after: itr =   3, myrank =   0, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.39604E-01
after: itr =   3, myrank =   0, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.58263E-01
after: itr =   3, myrank =   0, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.59568E-01
after: itr =   3, myrank =   0, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.38173E-02
after: itr =   3, myrank =   0, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.10855E-01
after: itr =   3, myrank =   0, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.17280E-01
after: itr =   3, myrank =   0, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.19212E-01
after: itr =   3, myrank =   0, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =   3, myrank =   0, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   3, myrank =   0, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   3, myrank =   0, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
before: itr =   4, myrank =   0, x(  1, 2) =     0.35285E-02, x(  1, 3) =     0.30345E-01
before: itr =   4, myrank =   0, x(  2, 2) =     0.96373E-02, x(  2, 3) =     0.56657E-01
before: itr =   4, myrank =   0, x(  3, 2) =     0.14785E-01, x(  3, 3) =     0.64670E-01
before: itr =   4, myrank =   0, x(  4, 2) =     0.15787E-01, x(  4, 3) =     0.34522E-01
before: itr =   4, myrank =   0, x(  5, 2) =     0.46995E-02, x(  5, 3) =     0.28684E-01
before: itr =   4, myrank =   0, x(  6, 2) =     0.13485E-01, x(  6, 3) =     0.48165E-01
before: itr =   4, myrank =   0, x(  7, 2) =     0.21633E-01, x(  7, 3) =     0.47394E-01
before: itr =   4, myrank =   0, x(  8, 2) =     0.24247E-01, x(  8, 3) =     0.48178E-02
before: itr =   4, myrank =   0, x(  9, 2) =     0.21292E-02, x(  9, 3) =     0.85085E-02
before: itr =   4, myrank =   0, x( 10, 2) =     0.66174E-02, x( 10, 3) =     0.14715E-01
before: itr =   4, myrank =   0, x( 11, 2) =     0.11383E-01, x( 11, 3) =     0.14536E-01
before: itr =   4, myrank =   0, x( 12, 2) =     0.13710E-01, x( 12, 3) =    -0.13399E-02
before: itr =   4, myrank =   0, x( 13, 2) =     0.53230E-03, x( 13, 3) =     0.22602E-02
before: itr =   4, myrank =   0, x( 14, 2) =     0.17874E-02, x( 14, 3) =     0.46907E-02
before: itr =   4, myrank =   0, x( 15, 2) =     0.32925E-02, x( 15, 3) =     0.56298E-02
before: itr =   4, myrank =   0, x( 16, 2) =     0.42507E-02, x( 16, 3) =     0.21352E-02
after: itr =   4, myrank =   0, x(  1, 2) =     0.35285E-02, x(  1, 3) =     0.30345E-01
after: itr =   4, myrank =   0, x(  2, 2) =     0.96373E-02, x(  2, 3) =     0.56657E-01
after: itr =   4, myrank =   0, x(  3, 2) =     0.14785E-01, x(  3, 3) =     0.64670E-01
after: itr =   4, myrank =   0, x(  4, 2) =     0.15787E-01, x(  4, 3) =     0.34522E-01
after: itr =   4, myrank =   0, x(  5, 2) =     0.46995E-02, x(  5, 3) =     0.28684E-01
after: itr =   4, myrank =   0, x(  6, 2) =     0.13485E-01, x(  6, 3) =     0.48165E-01
after: itr =   4, myrank =   0, x(  7, 2) =     0.21633E-01, x(  7, 3) =     0.47394E-01
after: itr =   4, myrank =   0, x(  8, 2) =     0.24247E-01, x(  8, 3) =     0.48178E-02
after: itr =   4, myrank =   0, x(  9, 2) =     0.21292E-02, x(  9, 3) =     0.85085E-02
after: itr =   4, myrank =   0, x( 10, 2) =     0.66174E-02, x( 10, 3) =     0.14715E-01
after: itr =   4, myrank =   0, x( 11, 2) =     0.11383E-01, x( 11, 3) =     0.14536E-01
after: itr =   4, myrank =   0, x( 12, 2) =     0.13710E-01, x( 12, 3) =    -0.13399E-02
after: itr =   4, myrank =   0, x( 13, 2) =     0.53230E-03, x( 13, 3) =     0.00000E+00
after: itr =   4, myrank =   0, x( 14, 2) =     0.17874E-02, x( 14, 3) =     0.00000E+00
after: itr =   4, myrank =   0, x( 15, 2) =     0.32925E-02, x( 15, 3) =     0.00000E+00
after: itr =   4, myrank =   0, x( 16, 2) =     0.42507E-02, x( 16, 3) =     0.00000E+00
before: itr =   5, myrank =   0, x(  1, 2) =     0.94062E-02, x(  1, 3) =     0.33223E-01
before: itr =   5, myrank =   0, x(  2, 2) =     0.18765E-01, x(  2, 3) =     0.52281E-01
before: itr =   5, myrank =   0, x(  3, 2) =     0.22821E-01, x(  3, 3) =     0.42469E-01
before: itr =   5, myrank =   0, x(  4, 2) =     0.12504E-01, x(  4, 3) =     0.17677E-01
before: itr =   5, myrank =   0, x(  5, 2) =     0.11076E-01, x(  5, 3) =     0.25486E-01
before: itr =   5, myrank =   0, x(  6, 2) =     0.19822E-01, x(  6, 3) =     0.39604E-01
before: itr =   5, myrank =   0, x(  7, 2) =     0.20600E-01, x(  7, 3) =     0.28261E-01
before: itr =   5, myrank =   0, x(  8, 2) =     0.78442E-03, x(  8, 3) =     0.30068E-01
before: itr =   5, myrank =   0, x(  9, 2) =     0.56191E-02, x(  9, 3) =     0.72006E-02
before: itr =   5, myrank =   0, x( 10, 2) =     0.10023E-01, x( 10, 3) =     0.10483E-01
before: itr =   5, myrank =   0, x( 11, 2) =     0.98491E-02, x( 11, 3) =     0.45453E-02
before: itr =   5, myrank =   0, x( 12, 2) =    -0.34691E-02, x( 12, 3) =     0.84559E-02
before: itr =   5, myrank =   0, x( 13, 2) =     0.15855E-02, x( 13, 3) =     0.21965E-02
before: itr =   5, myrank =   0, x( 14, 2) =     0.28315E-02, x( 14, 3) =     0.38778E-02
before: itr =   5, myrank =   0, x( 15, 2) =     0.25866E-02, x( 15, 3) =     0.27524E-02
before: itr =   5, myrank =   0, x( 16, 2) =    -0.23460E-02, x( 16, 3) =     0.22156E-02
after: itr =   5, myrank =   0, x(  1, 2) =     0.94062E-02, x(  1, 3) =     0.33223E-01
after: itr =   5, myrank =   0, x(  2, 2) =     0.18765E-01, x(  2, 3) =     0.52281E-01
after: itr =   5, myrank =   0, x(  3, 2) =     0.22821E-01, x(  3, 3) =     0.42469E-01
after: itr =   5, myrank =   0, x(  4, 2) =     0.12504E-01, x(  4, 3) =     0.17677E-01
after: itr =   5, myrank =   0, x(  5, 2) =     0.11076E-01, x(  5, 3) =     0.25486E-01
after: itr =   5, myrank =   0, x(  6, 2) =     0.19822E-01, x(  6, 3) =     0.39604E-01
after: itr =   5, myrank =   0, x(  7, 2) =     0.20600E-01, x(  7, 3) =     0.28261E-01
after: itr =   5, myrank =   0, x(  8, 2) =     0.78442E-03, x(  8, 3) =     0.30068E-01
after: itr =   5, myrank =   0, x(  9, 2) =     0.56191E-02, x(  9, 3) =     0.72006E-02
after: itr =   5, myrank =   0, x( 10, 2) =     0.10023E-01, x( 10, 3) =     0.10483E-01
after: itr =   5, myrank =   0, x( 11, 2) =     0.98491E-02, x( 11, 3) =     0.45453E-02
after: itr =   5, myrank =   0, x( 12, 2) =    -0.34691E-02, x( 12, 3) =     0.84559E-02
after: itr =   5, myrank =   0, x( 13, 2) =     0.15855E-02, x( 13, 3) =     0.00000E+00
after: itr =   5, myrank =   0, x( 14, 2) =     0.28315E-02, x( 14, 3) =     0.00000E+00
after: itr =   5, myrank =   0, x( 15, 2) =     0.25866E-02, x( 15, 3) =     0.00000E+00
after: itr =   5, myrank =   0, x( 16, 2) =    -0.23460E-02, x( 16, 3) =     0.00000E+00
before: itr =   6, myrank =   0, x(  1, 2) =     0.11063E-01, x(  1, 3) =     0.29145E-01
before: itr =   6, myrank =   0, x(  2, 2) =     0.17114E-01, x(  2, 3) =     0.42973E-01
before: itr =   6, myrank =   0, x(  3, 2) =     0.11761E-01, x(  3, 3) =     0.41280E-01
before: itr =   6, myrank =   0, x(  4, 2) =     0.13036E-02, x(  4, 3) =     0.35720E-01
before: itr =   6, myrank =   0, x(  5, 2) =     0.99591E-02, x(  5, 3) =     0.24150E-01
before: itr =   6, myrank =   0, x(  6, 2) =     0.14414E-01, x(  6, 3) =     0.34367E-01
before: itr =   6, myrank =   0, x(  7, 2) =     0.59675E-02, x(  7, 3) =     0.42465E-01
before: itr =   6, myrank =   0, x(  8, 2) =     0.80752E-02, x(  8, 3) =     0.21534E-01
before: itr =   6, myrank =   0, x(  9, 2) =     0.43825E-02, x(  9, 3) =     0.61537E-02
before: itr =   6, myrank =   0, x( 10, 2) =     0.54787E-02, x( 10, 3) =     0.73944E-02
before: itr =   6, myrank =   0, x( 11, 2) =    -0.11473E-02, x( 11, 3) =     0.12019E-01
before: itr =   6, myrank =   0, x( 12, 2) =     0.49940E-02, x( 12, 3) =     0.54090E-02
before: itr =   6, myrank =   0, x( 13, 2) =     0.10107E-02, x( 13, 3) =     0.17911E-02
before: itr =   6, myrank =   0, x( 14, 2) =     0.85328E-03, x( 14, 3) =     0.25097E-02
before: itr =   6, myrank =   0, x( 15, 2) =    -0.19533E-02, x( 15, 3) =     0.31440E-02
before: itr =   6, myrank =   0, x( 16, 2) =     0.19332E-02, x( 16, 3) =     0.26215E-02
after: itr =   6, myrank =   0, x(  1, 2) =     0.11063E-01, x(  1, 3) =     0.29145E-01
after: itr =   6, myrank =   0, x(  2, 2) =     0.17114E-01, x(  2, 3) =     0.42973E-01
after: itr =   6, myrank =   0, x(  3, 2) =     0.11761E-01, x(  3, 3) =     0.41280E-01
after: itr =   6, myrank =   0, x(  4, 2) =     0.13036E-02, x(  4, 3) =     0.35720E-01
after: itr =   6, myrank =   0, x(  5, 2) =     0.99591E-02, x(  5, 3) =     0.24150E-01
after: itr =   6, myrank =   0, x(  6, 2) =     0.14414E-01, x(  6, 3) =     0.34367E-01
after: itr =   6, myrank =   0, x(  7, 2) =     0.59675E-02, x(  7, 3) =     0.42465E-01
after: itr =   6, myrank =   0, x(  8, 2) =     0.80752E-02, x(  8, 3) =     0.21534E-01
after: itr =   6, myrank =   0, x(  9, 2) =     0.43825E-02, x(  9, 3) =     0.61537E-02
after: itr =   6, myrank =   0, x( 10, 2) =     0.54787E-02, x( 10, 3) =     0.73944E-02
after: itr =   6, myrank =   0, x( 11, 2) =    -0.11473E-02, x( 11, 3) =     0.12019E-01
after: itr =   6, myrank =   0, x( 12, 2) =     0.49940E-02, x( 12, 3) =     0.54090E-02
after: itr =   6, myrank =   0, x( 13, 2) =     0.10107E-02, x( 13, 3) =     0.00000E+00
after: itr =   6, myrank =   0, x( 14, 2) =     0.85328E-03, x( 14, 3) =     0.00000E+00
after: itr =   6, myrank =   0, x( 15, 2) =    -0.19533E-02, x( 15, 3) =     0.00000E+00
after: itr =   6, myrank =   0, x( 16, 2) =     0.19332E-02, x( 16, 3) =     0.00000E+00
before: itr =   7, myrank =   0, x(  1, 2) =     0.85231E-02, x(  1, 3) =     0.27732E-01
before: itr =   7, myrank =   0, x(  2, 2) =     0.10861E-01, x(  2, 3) =     0.45071E-01
before: itr =   7, myrank =   0, x(  3, 2) =     0.89724E-02, x(  3, 3) =     0.51939E-01
before: itr =   7, myrank =   0, x(  4, 2) =     0.12540E-01, x(  4, 3) =     0.25514E-01
before: itr =   7, myrank =   0, x(  5, 2) =     0.78880E-02, x(  5, 3) =     0.21817E-01
before: itr =   7, myrank =   0, x(  6, 2) =     0.89333E-02, x(  6, 3) =     0.39579E-01
before: itr =   7, myrank =   0, x(  7, 2) =     0.13841E-01, x(  7, 3) =     0.36144E-01
before: itr =   7, myrank =   0, x(  8, 2) =     0.91898E-02, x(  8, 3) =     0.23822E-01
before: itr =   7, myrank =   0, x(  9, 2) =     0.29416E-02, x(  9, 3) =     0.49614E-02
before: itr =   7, myrank =   0, x( 10, 2) =     0.20044E-02, x( 10, 3) =     0.10944E-01
before: itr =   7, myrank =   0, x( 11, 2) =     0.83001E-02, x( 11, 3) =     0.91894E-02
before: itr =   7, myrank =   0, x( 12, 2) =     0.37110E-02, x( 12, 3) =     0.64761E-02
before: itr =   7, myrank =   0, x( 13, 2) =     0.44333E-03, x( 13, 3) =     0.13512E-02
before: itr =   7, myrank =   0, x( 14, 2) =    -0.30302E-03, x( 14, 3) =     0.29980E-02
before: itr =   7, myrank =   0, x( 15, 2) =     0.34592E-02, x( 15, 3) =     0.39117E-02
before: itr =   7, myrank =   0, x( 16, 2) =     0.82596E-03, x( 16, 3) =     0.28034E-02
after: itr =   7, myrank =   0, x(  1, 2) =     0.85231E-02, x(  1, 3) =     0.27732E-01
after: itr =   7, myrank =   0, x(  2, 2) =     0.10861E-01, x(  2, 3) =     0.45071E-01
after: itr =   7, myrank =   0, x(  3, 2) =     0.89724E-02, x(  3, 3) =     0.51939E-01
after: itr =   7, myrank =   0, x(  4, 2) =     0.12540E-01, x(  4, 3) =     0.25514E-01
after: itr =   7, myrank =   0, x(  5, 2) =     0.78880E-02, x(  5, 3) =     0.21817E-01
after: itr =   7, myrank =   0, x(  6, 2) =     0.89333E-02, x(  6, 3) =     0.39579E-01
after: itr =   7, myrank =   0, x(  7, 2) =     0.13841E-01, x(  7, 3) =     0.36144E-01
after: itr =   7, myrank =   0, x(  8, 2) =     0.91898E-02, x(  8, 3) =     0.23822E-01
after: itr =   7, myrank =   0, x(  9, 2) =     0.29416E-02, x(  9, 3) =     0.49614E-02
after: itr =   7, myrank =   0, x( 10, 2) =     0.20044E-02, x( 10, 3) =     0.10944E-01
after: itr =   7, myrank =   0, x( 11, 2) =     0.83001E-02, x( 11, 3) =     0.91894E-02
after: itr =   7, myrank =   0, x( 12, 2) =     0.37110E-02, x( 12, 3) =     0.64761E-02
after: itr =   7, myrank =   0, x( 13, 2) =     0.44333E-03, x( 13, 3) =     0.00000E+00
after: itr =   7, myrank =   0, x( 14, 2) =    -0.30302E-03, x( 14, 3) =     0.00000E+00
after: itr =   7, myrank =   0, x( 15, 2) =     0.34592E-02, x( 15, 3) =     0.00000E+00
after: itr =   7, myrank =   0, x( 16, 2) =     0.82596E-03, x( 16, 3) =     0.00000E+00
before: itr =   8, myrank =   0, x(  1, 2) =     0.73587E-02, x(  1, 3) =     0.28045E-01
before: itr =   8, myrank =   0, x(  2, 2) =     0.12153E-01, x(  2, 3) =     0.48884E-01
before: itr =   8, myrank =   0, x(  3, 2) =     0.18132E-01, x(  3, 3) =     0.42979E-01
before: itr =   8, myrank =   0, x(  4, 2) =     0.69388E-02, x(  4, 3) =     0.29920E-01
before: itr =   8, myrank =   0, x(  5, 2) =     0.63187E-02, x(  5, 3) =     0.24219E-01
before: itr =   8, myrank =   0, x(  6, 2) =     0.14008E-01, x(  6, 3) =     0.37357E-01
before: itr =   8, myrank =   0, x(  7, 2) =     0.14523E-01, x(  7, 3) =     0.38780E-01
before: itr =   8, myrank =   0, x(  8, 2) =     0.76537E-02, x(  8, 3) =     0.23826E-01
before: itr =   8, myrank =   0, x(  9, 2) =     0.19612E-02, x(  9, 3) =     0.68004E-02
before: itr =   8, myrank =   0, x( 10, 2) =     0.77252E-02, x( 10, 3) =     0.97960E-02
before: itr =   8, myrank =   0, x( 11, 2) =     0.55019E-02, x( 11, 3) =     0.10544E-01
before: itr =   8, myrank =   0, x( 12, 2) =     0.32589E-02, x( 12, 3) =     0.61691E-02
before: itr =   8, myrank =   0, x( 13, 2) =     0.19288E-03, x( 13, 3) =     0.17483E-02
before: itr =   8, myrank =   0, x( 14, 2) =     0.29958E-02, x( 14, 3) =     0.36351E-02
before: itr =   8, myrank =   0, x( 15, 2) =     0.60131E-03, x( 15, 3) =     0.36950E-02
before: itr =   8, myrank =   0, x( 16, 2) =     0.55207E-03, x( 16, 3) =     0.26040E-02
after: itr =   8, myrank =   0, x(  1, 2) =     0.73587E-02, x(  1, 3) =     0.28045E-01
after: itr =   8, myrank =   0, x(  2, 2) =     0.12153E-01, x(  2, 3) =     0.48884E-01
after: itr =   8, myrank =   0, x(  3, 2) =     0.18132E-01, x(  3, 3) =     0.42979E-01
after: itr =   8, myrank =   0, x(  4, 2) =     0.69388E-02, x(  4, 3) =     0.29920E-01
after: itr =   8, myrank =   0, x(  5, 2) =     0.63187E-02, x(  5, 3) =     0.24219E-01
after: itr =   8, myrank =   0, x(  6, 2) =     0.14008E-01, x(  6, 3) =     0.37357E-01
after: itr =   8, myrank =   0, x(  7, 2) =     0.14523E-01, x(  7, 3) =     0.38780E-01
after: itr =   8, myrank =   0, x(  8, 2) =     0.76537E-02, x(  8, 3) =     0.23826E-01
after: itr =   8, myrank =   0, x(  9, 2) =     0.19612E-02, x(  9, 3) =     0.68004E-02
after: itr =   8, myrank =   0, x( 10, 2) =     0.77252E-02, x( 10, 3) =     0.97960E-02
after: itr =   8, myrank =   0, x( 11, 2) =     0.55019E-02, x( 11, 3) =     0.10544E-01
after: itr =   8, myrank =   0, x( 12, 2) =     0.32589E-02, x( 12, 3) =     0.61691E-02
after: itr =   8, myrank =   0, x( 13, 2) =     0.19288E-03, x( 13, 3) =     0.00000E+00
after: itr =   8, myrank =   0, x( 14, 2) =     0.29958E-02, x( 14, 3) =     0.00000E+00
after: itr =   8, myrank =   0, x( 15, 2) =     0.60131E-03, x( 15, 3) =     0.00000E+00
after: itr =   8, myrank =   0, x( 16, 2) =     0.55207E-03, x( 16, 3) =     0.00000E+00
before: itr =   9, myrank =   0, x(  1, 2) =     0.79500E-02, x(  1, 3) =     0.30005E-01
before: itr =   9, myrank =   0, x(  2, 2) =     0.16167E-01, x(  2, 3) =     0.44715E-01
before: itr =   9, myrank =   0, x(  3, 2) =     0.11086E-01, x(  3, 3) =     0.48435E-01
before: itr =   9, myrank =   0, x(  4, 2) =     0.86954E-02, x(  4, 3) =     0.28482E-01
before: itr =   9, myrank =   0, x(  5, 2) =     0.88752E-02, x(  5, 3) =     0.23381E-01
before: itr =   9, myrank =   0, x(  6, 2) =     0.14158E-01, x(  6, 3) =     0.38661E-01
before: itr =   9, myrank =   0, x(  7, 2) =     0.12033E-01, x(  7, 3) =     0.38274E-01
before: itr =   9, myrank =   0, x(  8, 2) =     0.81265E-02, x(  8, 3) =     0.23368E-01
before: itr =   9, myrank =   0, x(  9, 2) =     0.49178E-02, x(  9, 3) =     0.61234E-02
before: itr =   9, myrank =   0, x( 10, 2) =     0.54798E-02, x( 10, 3) =     0.10304E-01
before: itr =   9, myrank =   0, x( 11, 2) =     0.52283E-02, x( 11, 3) =     0.97219E-02
before: itr =   9, myrank =   0, x( 12, 2) =     0.33895E-02, x( 12, 3) =     0.60352E-02
before: itr =   9, myrank =   0, x( 13, 2) =     0.18820E-02, x( 13, 3) =     0.20013E-02
before: itr =   9, myrank =   0, x( 14, 2) =     0.49285E-03, x( 14, 3) =     0.31995E-02
before: itr =   9, myrank =   0, x( 15, 2) =     0.12677E-02, x( 15, 3) =     0.35473E-02
before: itr =   9, myrank =   0, x( 16, 2) =     0.88826E-03, x( 16, 3) =     0.26177E-02
after: itr =   9, myrank =   0, x(  1, 2) =     0.79500E-02, x(  1, 3) =     0.30005E-01
