before: itr =   1, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
before: itr =   2, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   2, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
before: itr =   3, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   3, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.14114E-01
after: itr =   3, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.35021E-01
after: itr =   3, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.49505E-01
after: itr =   3, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.48362E-01
after: itr =   3, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.15269E-01
after: itr =   3, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39604E-01
after: itr =   3, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.58263E-01
after: itr =   3, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.59568E-01
before: itr =   4, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   4, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.14114E-01
before: itr =   4, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.35021E-01
before: itr =   4, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.49505E-01
before: itr =   4, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.48362E-01
before: itr =   4, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.15269E-01
before: itr =   4, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39604E-01
before: itr =   4, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.58263E-01
before: itr =   4, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.59568E-01
after: itr =   4, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   4, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.30345E-01
after: itr =   4, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.56657E-01
after: itr =   4, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.64670E-01
after: itr =   4, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.34522E-01
after: itr =   4, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.28684E-01
after: itr =   4, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.48165E-01
after: itr =   4, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.47394E-01
after: itr =   4, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.48178E-02
before: itr =   5, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   5, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.30345E-01
before: itr =   5, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.56657E-01
before: itr =   5, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.64670E-01
before: itr =   5, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.34522E-01
before: itr =   5, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.28684E-01
before: itr =   5, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.48165E-01
before: itr =   5, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.47394E-01
before: itr =   5, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.48178E-02
after: itr =   5, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   5, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.33223E-01
after: itr =   5, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.52281E-01
after: itr =   5, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.42469E-01
after: itr =   5, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.17677E-01
after: itr =   5, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.25486E-01
after: itr =   5, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39604E-01
after: itr =   5, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.28261E-01
after: itr =   5, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.30068E-01
before: itr =   6, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.33223E-01
before: itr =   6, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.52281E-01
before: itr =   6, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.42469E-01
before: itr =   6, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.17677E-01
before: itr =   6, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.25486E-01
before: itr =   6, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39604E-01
before: itr =   6, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.28261E-01
before: itr =   6, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.30068E-01
after: itr =   6, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.29145E-01
after: itr =   6, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.42973E-01
after: itr =   6, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.41280E-01
after: itr =   6, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.35720E-01
after: itr =   6, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.24150E-01
after: itr =   6, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.34367E-01
after: itr =   6, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.42465E-01
after: itr =   6, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.21534E-01
before: itr =   7, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   7, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.29145E-01
before: itr =   7, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.42973E-01
before: itr =   7, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.41280E-01
before: itr =   7, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.35720E-01
before: itr =   7, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.24150E-01
before: itr =   7, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.34367E-01
before: itr =   7, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.42465E-01
before: itr =   7, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.21534E-01
after: itr =   7, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   7, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.27732E-01
after: itr =   7, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.45071E-01
after: itr =   7, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.51939E-01
after: itr =   7, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.25514E-01
after: itr =   7, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.21817E-01
after: itr =   7, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39579E-01
after: itr =   7, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.36144E-01
after: itr =   7, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.23822E-01
before: itr =   8, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   8, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.27732E-01
before: itr =   8, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.45071E-01
before: itr =   8, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.51939E-01
before: itr =   8, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.25514E-01
before: itr =   8, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.21817E-01
before: itr =   8, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.39579E-01
before: itr =   8, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.36144E-01
before: itr =   8, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.23822E-01
after: itr =   8, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
after: itr =   8, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.28045E-01
after: itr =   8, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.48884E-01
after: itr =   8, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.42979E-01
after: itr =   8, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.29920E-01
after: itr =   8, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.24219E-01
after: itr =   8, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.37357E-01
after: itr =   8, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.38780E-01
after: itr =   8, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.23826E-01
before: itr =   9, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  8, 2) =     0.51432-320, x(  8, 3) =     0.00000E+00
before: itr =   9, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.28045E-01
before: itr =   9, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.48884E-01
before: itr =   9, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.42979E-01
before: itr =   9, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.29920E-01
before: itr =   9, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.24219E-01
before: itr =   9, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.37357E-01
before: itr =   9, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.38780E-01
before: itr =   9, myrank =   1, x( 16, 2) =     0.27285-314, x( 16, 3) =     0.23826E-01
after: itr =   9, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   9, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
