before: itr =   1, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 11, 2) =     0.00000E+00, x( 11, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 12, 2) =     0.00000E+00, x( 12, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 13, 2) =     0.00000E+00, x( 13, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 14, 2) =     0.00000E+00, x( 14, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 15, 2) =     0.00000E+00, x( 15, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 16, 2) =     0.00000E+00, x( 16, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 17, 2) =     0.00000E+00, x( 17, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 18, 2) =     0.00000E+00, x( 18, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 19, 2) =     0.00000E+00, x( 19, 3) =     0.00000E+00
after: itr =   1, myrank =   1, x( 20, 2) =     0.00000E+00, x( 20, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.54766E-01
before: itr =   6, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.91690E-01
before: itr =   6, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10234E+00
before: itr =   6, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.90574E-01
before: itr =   6, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.54507E-01
before: itr =   6, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76529E-01
before: itr =   6, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.12787E+00
before: itr =   6, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.14944E+00
before: itr =   6, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13808E+00
before: itr =   6, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76566E-01
before: itr =   6, myrank =   1, x( 11, 2) =     0.21053E-01, x( 11, 3) =     0.59955E-01
before: itr =   6, myrank =   1, x( 12, 2) =     0.34981E-01, x( 12, 3) =     0.97952E-01
before: itr =   6, myrank =   1, x( 13, 2) =     0.38579E-01, x( 13, 3) =     0.12483E+00
before: itr =   6, myrank =   1, x( 14, 2) =     0.17662E-01, x( 14, 3) =     0.94658E-01
before: itr =   6, myrank =   1, x( 15, 2) =     0.23334E-01, x( 15, 3) =     0.60107E-01
before: itr =   6, myrank =   1, x( 16, 2) =     0.48933E-02, x( 16, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( 17, 2) =     0.82291E-02, x( 17, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( 18, 2) =     0.89307E-02, x( 18, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( 19, 2) =     0.22601E-02, x( 19, 3) =     0.00000E+00
before: itr =   6, myrank =   1, x( 20, 2) =     0.39094E-02, x( 20, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.54766E-01
after: itr =   6, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.91690E-01
after: itr =   6, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10234E+00
after: itr =   6, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.90574E-01
after: itr =   6, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.54507E-01
after: itr =   6, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76529E-01
after: itr =   6, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.12787E+00
after: itr =   6, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.14944E+00
after: itr =   6, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13808E+00
after: itr =   6, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76566E-01
after: itr =   6, myrank =   1, x( 11, 2) =     0.18799E-01, x( 11, 3) =     0.59955E-01
after: itr =   6, myrank =   1, x( 12, 2) =     0.32060E-01, x( 12, 3) =     0.97952E-01
after: itr =   6, myrank =   1, x( 13, 2) =     0.29126E-01, x( 13, 3) =     0.12483E+00
after: itr =   6, myrank =   1, x( 14, 2) =     0.38436E-01, x( 14, 3) =     0.94658E-01
after: itr =   6, myrank =   1, x( 15, 2) =     0.17062E-01, x( 15, 3) =     0.60107E-01
after: itr =   6, myrank =   1, x( 16, 2) =     0.41182E-02, x( 16, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( 17, 2) =     0.66585E-02, x( 17, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( 18, 2) =     0.43726E-02, x( 18, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( 19, 2) =     0.74053E-02, x( 19, 3) =     0.00000E+00
after: itr =   6, myrank =   1, x( 20, 2) =     0.37800E-02, x( 20, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53150E-01
before: itr =  11, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92501E-01
before: itr =  11, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10719E+00
before: itr =  11, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.93011E-01
before: itr =  11, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53676E-01
before: itr =  11, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76860E-01
before: itr =  11, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13265E+00
before: itr =  11, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15354E+00
before: itr =  11, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13292E+00
before: itr =  11, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76702E-01
before: itr =  11, myrank =   1, x( 11, 2) =     0.16855E-01, x( 11, 3) =     0.57997E-01
before: itr =  11, myrank =   1, x( 12, 2) =     0.32499E-01, x( 12, 3) =     0.10262E+00
before: itr =  11, myrank =   1, x( 13, 2) =     0.35849E-01, x( 13, 3) =     0.11790E+00
before: itr =  11, myrank =   1, x( 14, 2) =     0.31320E-01, x( 14, 3) =     0.10209E+00
before: itr =  11, myrank =   1, x( 15, 2) =     0.18248E-01, x( 15, 3) =     0.59025E-01
before: itr =  11, myrank =   1, x( 16, 2) =     0.35308E-02, x( 16, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( 17, 2) =     0.64442E-02, x( 17, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( 18, 2) =     0.72352E-02, x( 18, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( 19, 2) =     0.64047E-02, x( 19, 3) =     0.00000E+00
before: itr =  11, myrank =   1, x( 20, 2) =     0.37404E-02, x( 20, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53150E-01
after: itr =  11, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92501E-01
after: itr =  11, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10719E+00
after: itr =  11, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.93011E-01
after: itr =  11, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53676E-01
after: itr =  11, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76860E-01
after: itr =  11, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13265E+00
after: itr =  11, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15354E+00
after: itr =  11, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13292E+00
after: itr =  11, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76702E-01
after: itr =  11, myrank =   1, x( 11, 2) =     0.19184E-01, x( 11, 3) =     0.57997E-01
after: itr =  11, myrank =   1, x( 12, 2) =     0.31052E-01, x( 12, 3) =     0.10262E+00
after: itr =  11, myrank =   1, x( 13, 2) =     0.36475E-01, x( 13, 3) =     0.11790E+00
after: itr =  11, myrank =   1, x( 14, 2) =     0.31633E-01, x( 14, 3) =     0.10209E+00
after: itr =  11, myrank =   1, x( 15, 2) =     0.18188E-01, x( 15, 3) =     0.59025E-01
after: itr =  11, myrank =   1, x( 16, 2) =     0.36805E-02, x( 16, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( 17, 2) =     0.62783E-02, x( 17, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( 18, 2) =     0.74629E-02, x( 18, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( 19, 2) =     0.64609E-02, x( 19, 3) =     0.00000E+00
after: itr =  11, myrank =   1, x( 20, 2) =     0.37059E-02, x( 20, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53665E-01
before: itr =  16, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92900E-01
before: itr =  16, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10727E+00
before: itr =  16, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.92918E-01
before: itr =  16, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53631E-01
before: itr =  16, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76701E-01
before: itr =  16, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13287E+00
before: itr =  16, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15343E+00
before: itr =  16, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13287E+00
before: itr =  16, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76712E-01
before: itr =  16, myrank =   1, x( 11, 2) =     0.18283E-01, x( 11, 3) =     0.59050E-01
before: itr =  16, myrank =   1, x( 12, 2) =     0.31574E-01, x( 12, 3) =     0.10226E+00
before: itr =  16, myrank =   1, x( 13, 2) =     0.36406E-01, x( 13, 3) =     0.11805E+00
before: itr =  16, myrank =   1, x( 14, 2) =     0.31527E-01, x( 14, 3) =     0.10223E+00
before: itr =  16, myrank =   1, x( 15, 2) =     0.18210E-01, x( 15, 3) =     0.59023E-01
before: itr =  16, myrank =   1, x( 16, 2) =     0.37422E-02, x( 16, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( 17, 2) =     0.64516E-02, x( 17, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( 18, 2) =     0.74366E-02, x( 18, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( 19, 2) =     0.64474E-02, x( 19, 3) =     0.00000E+00
before: itr =  16, myrank =   1, x( 20, 2) =     0.37197E-02, x( 20, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53665E-01
after: itr =  16, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92900E-01
after: itr =  16, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10727E+00
after: itr =  16, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.92918E-01
after: itr =  16, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53631E-01
after: itr =  16, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76701E-01
after: itr =  16, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13287E+00
after: itr =  16, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15343E+00
after: itr =  16, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13287E+00
after: itr =  16, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76712E-01
after: itr =  16, myrank =   1, x( 11, 2) =     0.18164E-01, x( 11, 3) =     0.59050E-01
after: itr =  16, myrank =   1, x( 12, 2) =     0.31484E-01, x( 12, 3) =     0.10226E+00
after: itr =  16, myrank =   1, x( 13, 2) =     0.36385E-01, x( 13, 3) =     0.11805E+00
after: itr =  16, myrank =   1, x( 14, 2) =     0.31520E-01, x( 14, 3) =     0.10223E+00
after: itr =  16, myrank =   1, x( 15, 2) =     0.18195E-01, x( 15, 3) =     0.59023E-01
after: itr =  16, myrank =   1, x( 16, 2) =     0.37142E-02, x( 16, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 17, 2) =     0.64441E-02, x( 17, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 18, 2) =     0.74525E-02, x( 18, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 19, 2) =     0.64532E-02, x( 19, 3) =     0.00000E+00
after: itr =  16, myrank =   1, x( 20, 2) =     0.37277E-02, x( 20, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53654E-01
before: itr =  21, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92929E-01
before: itr =  21, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10731E+00
before: itr =  21, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.92929E-01
before: itr =  21, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53654E-01
before: itr =  21, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76713E-01
before: itr =  21, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13287E+00
before: itr =  21, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15343E+00
before: itr =  21, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13287E+00
before: itr =  21, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76713E-01
before: itr =  21, myrank =   1, x( 11, 2) =     0.18201E-01, x( 11, 3) =     0.59018E-01
before: itr =  21, myrank =   1, x( 12, 2) =     0.31521E-01, x( 12, 3) =     0.10222E+00
before: itr =  21, myrank =   1, x( 13, 2) =     0.36397E-01, x( 13, 3) =     0.11803E+00
before: itr =  21, myrank =   1, x( 14, 2) =     0.31520E-01, x( 14, 3) =     0.10222E+00
before: itr =  21, myrank =   1, x( 15, 2) =     0.18198E-01, x( 15, 3) =     0.59016E-01
before: itr =  21, myrank =   1, x( 16, 2) =     0.37245E-02, x( 16, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 17, 2) =     0.64499E-02, x( 17, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 18, 2) =     0.74482E-02, x( 18, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 19, 2) =     0.64499E-02, x( 19, 3) =     0.00000E+00
before: itr =  21, myrank =   1, x( 20, 2) =     0.37242E-02, x( 20, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53654E-01
after: itr =  21, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92929E-01
after: itr =  21, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10731E+00
after: itr =  21, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.92929E-01
after: itr =  21, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53654E-01
after: itr =  21, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76713E-01
after: itr =  21, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13287E+00
after: itr =  21, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15343E+00
after: itr =  21, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13287E+00
after: itr =  21, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76713E-01
after: itr =  21, myrank =   1, x( 11, 2) =     0.18198E-01, x( 11, 3) =     0.59018E-01
after: itr =  21, myrank =   1, x( 12, 2) =     0.31521E-01, x( 12, 3) =     0.10222E+00
after: itr =  21, myrank =   1, x( 13, 2) =     0.36398E-01, x( 13, 3) =     0.11803E+00
after: itr =  21, myrank =   1, x( 14, 2) =     0.31522E-01, x( 14, 3) =     0.10222E+00
after: itr =  21, myrank =   1, x( 15, 2) =     0.18200E-01, x( 15, 3) =     0.59016E-01
after: itr =  21, myrank =   1, x( 16, 2) =     0.37238E-02, x( 16, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( 17, 2) =     0.64506E-02, x( 17, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( 18, 2) =     0.74484E-02, x( 18, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( 19, 2) =     0.64508E-02, x( 19, 3) =     0.00000E+00
after: itr =  21, myrank =   1, x( 20, 2) =     0.37242E-02, x( 20, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( -4, 2) =     0.00000E+00, x( -4, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( -3, 2) =     0.00000E+00, x( -3, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( -2, 2) =     0.00000E+00, x( -2, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( -1, 2) =     0.00000E+00, x( -1, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x(  0, 2) =     0.00000E+00, x(  0, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x(  1, 2) =     0.00000E+00, x(  1, 3) =     0.53653E-01
before: itr =  26, myrank =   1, x(  2, 2) =     0.00000E+00, x(  2, 3) =     0.92930E-01
before: itr =  26, myrank =   1, x(  3, 2) =     0.00000E+00, x(  3, 3) =     0.10731E+00
before: itr =  26, myrank =   1, x(  4, 2) =     0.00000E+00, x(  4, 3) =     0.92930E-01
before: itr =  26, myrank =   1, x(  5, 2) =     0.00000E+00, x(  5, 3) =     0.53653E-01
before: itr =  26, myrank =   1, x(  6, 2) =     0.00000E+00, x(  6, 3) =     0.76713E-01
before: itr =  26, myrank =   1, x(  7, 2) =     0.00000E+00, x(  7, 3) =     0.13287E+00
before: itr =  26, myrank =   1, x(  8, 2) =     0.00000E+00, x(  8, 3) =     0.15343E+00
before: itr =  26, myrank =   1, x(  9, 2) =     0.00000E+00, x(  9, 3) =     0.13287E+00
before: itr =  26, myrank =   1, x( 10, 2) =     0.00000E+00, x( 10, 3) =     0.76713E-01
before: itr =  26, myrank =   1, x( 11, 2) =     0.18199E-01, x( 11, 3) =     0.59017E-01
before: itr =  26, myrank =   1, x( 12, 2) =     0.31522E-01, x( 12, 3) =     0.10222E+00
before: itr =  26, myrank =   1, x( 13, 2) =     0.36398E-01, x( 13, 3) =     0.11803E+00
before: itr =  26, myrank =   1, x( 14, 2) =     0.31522E-01, x( 14, 3) =     0.10222E+00
before: itr =  26, myrank =   1, x( 15, 2) =     0.18199E-01, x( 15, 3) =     0.59017E-01
before: itr =  26, myrank =   1, x( 16, 2) =     0.37241E-02, x( 16, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( 17, 2) =     0.64505E-02, x( 17, 3) =     0.00000E+00
before: itr =  26, myrank =   1, x( 18, 2) =     0.74483E-02, x( 18, 3) =     0.00000E+00
